hostname,count
Mycolicibacterium smegmatis,838
Escherichia coli,474
Salmonella enterica,231
Lactococcus lactis,185
Pseudomonas aeruginosa,182
Gordonia terrae,176
Staphylococcus aureus,152
Klebsiella pneumoniae,121
Cutibacterium acnes,81
Enterococcus faecalis,80
Bacillus thuringiensis,62
Acinetobacter baumannii,60
Vibrio cholerae,59
Arthrobacter sp. ATCC 21022,55
Bacillus cereus,54
Erwinia amylovora,39
Microbacterium foliorum,39
Cellulophaga baltica,36
Ralstonia solanacearum,35
Synechococcus sp. WH 7803,33
Listeria monocytogenes,32
Paenibacillus larvae,31
