hostname,count
Homo sapiens,1219
Solanum lycopersicum,248
Bos taurus,166
Sus scrofa,178
Mus musculus,131
Gallus gallus,99
Chlorocebus aethiops,80
Canis lupus,51
Choristoneura fumiferana,4
Nicotiana benthamiana,55
Equus caballus,37
Vitis vinifera,45
Macaca mulatta,57
Glycine max,33
Oryza sativa,17
Phaseolus vulgaris,39
Malacosoma disstria,0
Capsicum annuum,43
Anas platyrhynchos,38
Nicotiana tabacum,42
Felis catus,47
Abelmoschus esculentus,43
Aedes albopictus,29
Triticum aestivum,31
Lymantria dispar,7
Ipomoea batatas,42
Pisum sativum,16
Ovis aries,33
Vicia faba,17
Avena sativa,17
Sclerotinia sclerotiorum,26
Pan troglodytes,40
Culex tritaeniorhynchus,13
Rattus norvegicus,36
Manihot esculenta,22
Rosellinia necatrix,14
Zea mays,28
Mesocricetus auratus,12
Cucumis melo,15
Solanum tuberosum,26
Gossypium hirsutum,25
Cicer arietinum,20
Carica papaya,29
