hostname,count
Mycolicibacterium smegmatis,809
Escherichia coli,449
Salmonella enterica,209
Lactococcus lactis,183
Pseudomonas aeruginosa,177
Gordonia terrae,174
Staphylococcus aureus,150
Klebsiella pneumoniae,123
Enterococcus faecalis,81
Cutibacterium acnes,81
Vibrio cholerae,56
Arthrobacter sp. ATCC 21022,55
Acinetobacter baumannii,55
Bacillus thuringiensis,44
Bacillus cereus,41
Microbacterium foliorum,39
Erwinia amylovora,39
Ralstonia solanacearum,35
Synechococcus sp. WH 7803,33
Listeria monocytogenes,32
Paenibacillus larvae,31
