Hostname,AUC,Loss,Accuracy,eer_fpr,eer_fnr,f1,spec,sens,prec,model_CV
Mycolicibacterium smegmatis,0.9993,0.0688,0.9841,0.0184,0.0199,0.9841,0.9816,0.9868,0.984,1
Escherichia coli,0.8305,1.8568,0.7818,0.2338,0.2273,0.7795,0.7273,0.8295,0.7827,5
Salmonella enterica,0.8648,1.6604,0.775,0.2,0.1778,0.7737,0.8,0.7556,0.7736,1
Lactococcus lactis,0.996,0.2209,0.9577,0.0571,0.0556,0.9577,0.9429,0.9722,0.9583,5
Pseudomonas aeruginosa,0.9571,0.7009,0.8714,0.1143,0.1143,0.8712,0.8286,0.9143,0.8742,1
Gordonia terrae,0.971,0.4361,0.9275,0.0833,0.0909,0.9275,0.9167,0.9394,0.9273,5
Staphylococcus aureus,1.0,0.087,0.9661,0.0,0.0,0.9659,0.9394,1.0,0.9643,2
Klebsiella pneumoniae,0.8455,1.7289,0.7917,0.25,0.2857,0.7857,0.75,0.8214,0.7857,3
Enterococcus faecalis,1.0,0.2243,0.9375,0.0,0.0,0.9333,0.9048,1.0,0.9231,1
Cutibacterium acnes,1.0,0.0322,0.9697,0.0,0.0,0.9687,0.95,1.0,0.9643,3
