Hostname,AUC,Loss,Accuracy,eer_fpr,eer_fnr,f1,spec,sens,prec,model_CV
Homo sapiens,0.9454,0.7272,0.8689,0.1328,0.1336,0.8687,0.8465,0.8907,0.8696,2
Solanum lycopersicum,0.8886,1.5521,0.84,0.125,0.1154,0.8399,0.8958,0.7885,0.8438,4
Bos taurus,0.8298,1.7685,0.806,0.2424,0.2353,0.8032,0.697,0.9118,0.8204,4
Sus scrofa,0.9112,1.0477,0.8611,0.1351,0.1429,0.8601,0.9189,0.8,0.8662,5
Mus musculus,0.9231,0.8884,0.8491,0.1667,0.1724,0.8477,0.8333,0.8621,0.8477,5
Gallus gallus,0.8939,1.2525,0.825,0.2273,0.2222,0.8222,0.8636,0.7778,0.8248,5
Chlorocebus aethiops,0.8744,1.2361,0.8125,0.2174,0.1111,0.8,0.7391,1.0,0.8,3
Macaca mulatta,0.9053,1.0275,0.7826,0.1667,0.1818,0.7826,0.75,0.8182,0.7841,4
Nicotiana benthamiana,1.0,0.2565,0.9545,0.0,0.0,0.9545,1.0,0.9091,0.9583,3
Canis lupus,0.8009,2.519,0.7143,0.3333,0.3333,0.7136,0.6667,0.7778,0.7182,1
Felis catus,0.881,1.4826,0.8421,0.1667,0.1429,0.8348,0.8333,0.8571,0.8295,3
Vitis vinifera,1.0,0.0197,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
