Hostname,AUC,Loss,Accuracy,eer_fpr,eer_fnr,f1,spec,sens,prec,model_CV
Mycolicibacterium smegmatis,1.0,0.0108,0.9938,0.0,0.0,0.9938,0.9879,1.0,0.9938,1
Escherichia coli,0.9558,0.4573,0.9153,0.0941,0.0543,0.9151,0.9059,0.9239,0.9153,1
Salmonella enterica,0.9457,0.564,0.8659,0.1282,0.1628,0.8658,0.9231,0.814,0.8696,4
Lactococcus lactis,1.0,0.124,0.9863,0.0,0.0,0.9863,0.973,1.0,0.9865,2
Pseudomonas aeruginosa,0.9746,0.2978,0.9577,0.0571,0.0556,0.9576,0.9143,1.0,0.9615,5
Gordonia terrae,1.0,0.0141,0.9857,0.0,0.0,0.9857,1.0,0.973,0.9853,3
Staphylococcus aureus,1.0,0.0041,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Klebsiella pneumoniae,0.9696,0.4783,0.8958,0.05,0.1071,0.8936,0.9,0.8929,0.8915,3
Enterococcus faecalis,1.0,0.302,0.875,0.0,0.0,0.8615,0.8261,1.0,0.8462,1
Cutibacterium acnes,1.0,0.0006,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2
Vibrio cholerae,0.9545,0.4588,0.8261,0.0833,0.0,0.8231,0.6667,1.0,0.8667,2
Arthrobacter sp. ATCC 21022,1.0,0.0891,0.9091,0.0,0.0,0.9083,0.8182,1.0,0.9231,1
Acinetobacter baumannii,1.0,0.1036,0.9545,0.0,0.0,0.9545,0.9091,1.0,0.9583,3
Bacillus thuringiensis,0.8442,2.9552,0.7222,0.2727,0.1429,0.7214,0.5455,1.0,0.7917,5
Bacillus cereus,1.0,0.0726,0.9412,0.0,0.0,0.9377,0.9091,1.0,0.9286,1
Microbacterium foliorum,1.0,0.032,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Erwinia amylovora,0.881,1.0858,0.875,0.1111,0.1429,0.873,0.8889,0.8571,0.873,5
Ralstonia solanacearum,1.0,0.0384,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Synechococcus sp. WH 7803,1.0,0.0029,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Listeria monocytogenes,1.0,0.1802,0.8462,0.0,0.0,0.8452,0.75,1.0,0.8571,2
Paenibacillus larvae,1.0,0.0002,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
