Hostname,AUC,Loss,Accuracy,eer_fpr,eer_fnr,f1,spec,sens,prec,model_CV
Mycolicibacterium smegmatis,1.0,0.0007,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2
Escherichia coli,0.9558,0.4573,0.9153,0.0941,0.0543,0.9151,0.9059,0.9239,0.9153,1
Salmonella enterica,0.9428,0.4717,0.878,0.1026,0.093,0.878,0.8974,0.8605,0.878,1
Lactococcus lactis,0.9854,0.1578,0.9863,0.027,0.0,0.9863,0.973,1.0,0.9865,1
Pseudomonas aeruginosa,0.9746,0.2978,0.9577,0.0571,0.0556,0.9576,0.9143,1.0,0.9615,5
Gordonia terrae,1.0,0.0141,0.9857,0.0,0.0,0.9857,1.0,0.973,0.9853,3
Staphylococcus aureus,1.0,0.0041,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Klebsiella pneumoniae,0.9696,0.4783,0.8958,0.05,0.1071,0.8936,0.9,0.8929,0.8915,3
Enterococcus faecalis,0.9903,0.8661,0.9062,0.087,0.1111,0.8937,0.8696,1.0,0.875,4
Cutibacterium acnes,1.0,0.0006,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2
Vibrio cholerae,0.928,0.7399,0.913,0.0833,0.0,0.9129,0.8333,1.0,0.9231,5
Arthrobacter sp. ATCC 21022,1.0,0.0294,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2
Acinetobacter baumannii,0.9835,0.201,0.9545,0.1818,0.0909,0.9545,1.0,0.9091,0.9583,2
Bacillus thuringiensis,0.7078,3.2318,0.7222,0.4545,0.2857,0.7214,0.5455,1.0,0.7917,1
Bacillus cereus,1.0,0.0726,0.9412,0.0,0.0,0.9377,0.9091,1.0,0.9286,1
Microbacterium foliorum,1.0,0.032,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Erwinia amylovora,0.8651,1.3097,0.875,0.1111,0.1429,0.873,0.8889,0.8571,0.873,1
Ralstonia solanacearum,1.0,0.0384,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Synechococcus sp. WH 7803,1.0,0.0029,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Listeria monocytogenes,1.0,0.0289,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
Paenibacillus larvae,1.0,0.0002,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
